code,activity,activity_short,theme,question,issue_values,severity,finding,action,owner
A1_CFM_AWARE,Activity 1 (Relief response),A1 - Relief,AAP/CFM,"If you wanted to ask a question, get more information, make a complaint/appeal, report misconduct or provide feedback, do you know what to do/who to contact?",No,High,"Beneficiary does not know how/whom to contact for information, feedback or complaint",Reinforce CFM channel communication before and during distributions; verify visibility and understanding at follow-up.,Programme / AAP / CP
A1_SAFETY,Activity 1 (Relief response),A1 - Relief,Protection & Safety,Are adequate measures taken to ensure your safety during the distribution?,No,High,Adequate safety measures not reported during distribution,"Review site organization, crowd control, access for vulnerable people and other safety arrangements; address identified gaps.",Programme / Protection-AAP / CP
A1_ENT_VERBAL,Activity 1 (Relief response),A1 - Relief,Entitlement Communication,Have entitlements been clearly communicated verbally to beneficiaries prior to distributions?,No,Medium-High,Entitlements not clearly communicated verbally before distribution,Reinforce pre-distribution entitlement briefing and monitor compliance.,Programme / CP
A1_ENT_DISPLAY,Activity 1 (Relief response),A1 - Relief,Entitlement Communication,Are written notices or pictorial displays with the correct entitlements posted at the distribution site?,No,Medium-High,Correct entitlement notice/pictorial display not posted,Ensure current entitlement/ration information is visibly displayed at the FDP and verified during monitoring.,Programme / CP
A1_BEN_LIST,Activity 1 (Relief response),A1 - Relief,Beneficiary Verification,"Do you think there are any problems or concerns with how beneficiaries have been selected for inclusion for the distribution (not related to targeting)? As in, are there signs of potential fraud at this distribution regarding beneficiary lists, electronic records, entitlement cards, etc?",Yes,High,Potential concerns with beneficiary selection/list controls observed,Conduct targeted verification of beneficiary lists/cards/electronic records and distribution documentation.,Programme / RAM-M&E / CP
A1_NO_ENTITLE,Activity 1 (Relief response),A1 - Relief,Entitlement,Did you receive your in-kind entitlement?,No,High,Respondent reported not receiving in-kind entitlement,Verify distribution records and entitlement status for affected site/households and document corrective action.,Programme / CP / RAM-M&E
A1_PAYMENT,Activity 1 (Relief response),A1 - Relief,Protection / Misconduct,Did you pay to receive your entitlement? (either in kind or cash),Yes,Critical,Respondent reported paying to receive assistance,Immediately verify the allegation through appropriate programme/AAP assurance channels and take corrective action if substantiated.,Programme / AAP / RAM-M&E
A1_CFM_VISIBLE,Activity 1 (Relief response),A1 - Relief,AAP/CFM,Is the Community Feedback Mechanism (CFM) information clearly visible throughout the distribution site?,No,Medium-High,CFM information not clearly visible at distribution site,Display standardized CFM information prominently and verify during next monitoring visit.,AAP / Programme / CP
A2_CFM_BANNER,Activity 2 (Nutrition assistance),A2 - Nutrition,AAP/CFM,"5. Is the Complaints, Feedback Mechanism (CFM) banner has been displayed at TSFP Center?",No,High,CFM banner not displayed at TSFP centre,Ensure standardized CFM banner/materials are displayed at functioning TSFP sites and verify at follow-up.,Nutrition / AAP / CP / Health
A2_MUAC,Activity 2 (Nutrition assistance),A2 - Nutrition,Programme Quality,1. Is MUAC properly measured as per the standard MUAC measurement procedure?,No,High,MUAC not measured according to standard procedure,Provide targeted coaching/refresher and verify correct MUAC measurement during follow-up.,Nutrition / Health / CP
A2_NONREG,Activity 2 (Nutrition assistance),A2 - Nutrition,Beneficiary Verification,3. Did you observe any non-registered beneficiaries receiving TSF assistance?,Yes,High,Non-registered beneficiary observed receiving TSF assistance,Review admission/registration and beneficiary verification records; address control gaps.,Nutrition / Health / CP / RAM-M&E
A2_CFM_AWARE,Activity 2 (Nutrition assistance),A2 - Nutrition,AAP/CFM,1. Do you know how to present your complaint or feedback regarding the TSFP in case of need?,No,High,Respondent does not know how to present TSFP complaint/feedback,Strengthen beneficiary orientation on complaint/feedback channels at TSFP sites.,Nutrition / AAP / CP
A2_DELIVERY_LATE,Activity 2 (Nutrition assistance),A2 - Nutrition,Supply / Timeliness,1. Did the food delivery occur on time to TSF Center?,No,Medium-High,Food delivery to TSF centre reported late,Review delivery timing and supply documentation; address recurring causes of delay.,Nutrition / Supply Chain / CP
A3_CFM_AWARE,Activity 3 (Refugee operations),A3 - Refugee,AAP/CFM,"If you wanted to ask a question, get more information, make a complaint/appeal, report misconduct or provide feedback, do you know what to do/who to contact?",No,High,Refugee respondent does not know how/whom to contact for information or complaint,Reinforce CFM communication and channel visibility across refugee sites.,Refugee Programme / AAP / CP
A3_STOCK_RECON,Activity 3 (Refugee operations),A3 - Refugee,Stock Control,3.2.27. Does the physical stock count reconcile with the recorded?,No,High,Physical stock did not reconcile with recorded stock,Conduct focused physical/document stock reconciliation and document resolution.,Refugee Programme / Supply Chain / CP
